"","ID","ID-2","Zscore"
"57-11-4","57-11-4","57-11-4",0.357351349634196
"131341-86-1","131341-86-1","131341-86-1",0.610881039881802
"177785-47-6","177785-47-6","177785-47-6",0.32684885354784
"102-82-9","102-82-9","102-82-9",0.0779796432996351
"1076-97-7","1076-97-7","1076-97-7",0.196329447413866
"101-42-8","101-42-8","101-42-8",1.01817595241998
"59-05-2","59-05-2","59-05-2",1.4277373629975
"84-61-7","84-61-7","84-61-7",0.27101392410491
"959-98-8","959-98-8","959-98-8",0.820563917684748
"7786-34-7","7786-34-7","7786-34-7",0.0357615845371699
"121-14-2","121-14-2","121-14-2",0.16815195320443
"874-90-8","874-90-8","874-90-8",0.342076813395362
"NOCAS_47383","NOCAS_47383","NOCAS_47383",1.70227607897505
"151506-44-4","151506-44-4","151506-44-4",0.0290774310756301
"74115-24-5","74115-24-5","74115-24-5",0.282408249874229
"53112-28-0","53112-28-0","53112-28-0",0.701295217708856
"2702-72-9","2702-72-9","2702-72-9",0.229590762297062
"5103-74-2","5103-74-2","5103-74-2",1.53094179847338
"124-04-9","124-04-9","124-04-9",0.483734537573711
"22248-79-9","22248-79-9","22248-79-9",0.157814316338784
"124378-77-4","124378-77-4","124378-77-4",0.657921532348418
"81-30-1","81-30-1","81-30-1",0.602604751096806
"81335-77-5","81335-77-5","81335-77-5",0.700276569461658
"120-46-7","120-46-7","120-46-7",0.876572963563287
"67-71-0","67-71-0","67-71-0",2.55081101247778
"103-23-1","103-23-1","103-23-1",0.141138552811044
"104-82-5","104-82-5","104-82-5",0.20239113813369
"121-79-9","121-79-9","121-79-9",0.657876853360178
"5333-42-6","5333-42-6","5333-42-6",0.567971972545846
"43121-43-3","43121-43-3","43121-43-3",0.738529319021686
"98-02-2","98-02-2","98-02-2",0.0713127968249133
"2795-39-3","2795-39-3","2795-39-3",4.74331435983431
"68392-35-8","68392-35-8","68392-35-8",0.155621233062553
"68-22-4","68-22-4","68-22-4",0.918310092726947
"110-43-0","110-43-0","110-43-0",0.779905914692303
"50-21-5","50-21-5","50-21-5",0.210675773315982
"5103-71-9","5103-71-9","5103-71-9",1.53094179847338
"78-07-9","78-07-9","78-07-9",0.0923666641385473
"78-69-3","78-69-3","78-69-3",0.889651590746089
"57-06-7","57-06-7","57-06-7",0.18004930149445
"13311-84-7","13311-84-7","13311-84-7",0.482135213964013
"25168-05-2","25168-05-2","25168-05-2",0.127354136309701
"6422-86-2","6422-86-2","6422-86-2",0.107069772383947
"298-46-4","298-46-4","298-46-4",0.578287292070824
"118134-30-8","118134-30-8","118134-30-8",0.384538687352137
"126-30-7","126-30-7","126-30-7",0.839440893455745
"402910-27-4","402910-27-4","402910-27-4",0.292369389466085
"112-31-2","112-31-2","112-31-2",0.554505161203558
"2426-54-2","2426-54-2","2426-54-2",1.05469479028574
"58430-94-7","58430-94-7","58430-94-7",0.895467642657619
"6359-98-4","6359-98-4","6359-98-4",1.36417114895986
"115-29-7","115-29-7","115-29-7",1.00138663414143
"139-13-9","139-13-9","139-13-9",0.279181043604792
"6055-19-2","6055-19-2","6055-19-2",0.207107046496354
"4151-50-2","4151-50-2","4151-50-2",3.95622938597005
"55589-62-3","55589-62-3","55589-62-3",0.0885203021099105
"123-15-9","123-15-9","123-15-9",0.454487230707394
"587-65-5","587-65-5","587-65-5",0.942334516046902
"142-16-5","142-16-5","142-16-5",0.344070458536753
"732-26-3","732-26-3","732-26-3",0.415656442404531
"7696-12-0","7696-12-0","7696-12-0",0.102453246963412
"78-97-7","78-97-7","78-97-7",0.325407789423019
"NOCAS_48505","NOCAS_48505","NOCAS_48505",0.0453233179347373
"7659-86-1","7659-86-1","7659-86-1",1.22590519238461
"121-39-1","121-39-1","121-39-1",0.946296648130253
"534-52-1","534-52-1","534-52-1",0.019475451064054
"95-32-9","95-32-9","95-32-9",0.416421264203015
"4422-95-1","4422-95-1","4422-95-1",0.328564427182892
"112-25-4","112-25-4","112-25-4",0.919463444470196
"6358-09-4","6358-09-4","6358-09-4",0.266949886658837
"102-06-7","102-06-7","102-06-7",0.467188558426729
"79-09-4","79-09-4","79-09-4",0.131331601932462
"3452-97-9","3452-97-9","3452-97-9",0.278587052018547
"1119-97-7","1119-97-7","1119-97-7",0.459294277694802
"147-24-0","147-24-0","147-24-0",0.871108614195214
"50-28-2","50-28-2","50-28-2",0.289172141869371
"609-66-5","609-66-5","609-66-5",0.941977446512979
"76703-62-3","76703-62-3","76703-62-3",0.531065837555706
"122-20-3","122-20-3","122-20-3",0.353214014077911
"103-90-2","103-90-2","103-90-2",0.821824936972119
"51-03-6","51-03-6","51-03-6",0.320399530281548
"513-86-0","513-86-0","513-86-0",0.408151675070836
"99-87-6","99-87-6","99-87-6",0.302429088217518
"83-56-7","83-56-7","83-56-7",0.755918490407185
"15307-79-6","15307-79-6","15307-79-6",0.461321987632782
"75-86-5","75-86-5","75-86-5",0.110771942918364
"4418-26-2","4418-26-2","4418-26-2",0.39145598290078
"335-67-1","335-67-1","335-67-1",3.79413575542887
"1119-40-0","1119-40-0","1119-40-0",0.548120142937619
"361343-19-3","361343-19-3","361343-19-3",0.311680096183431
"94-28-0","94-28-0","94-28-0",0.137184307247746
"118-75-2","118-75-2","118-75-2",0.231897842822481
"75-50-3","75-50-3","75-50-3",1.13222830888109
"754-91-6","754-91-6","754-91-6",4.19367919489647
"NOCAS_47334","NOCAS_47334","NOCAS_47334",0.101556884125864
