"ID"	"HalCount"	"OCount"	"NCount"	"RingCount"	"SingleBoundCount"	"DoubleBoundCount"	"NumAromaticHeterocycles"	"FractionCSP3"	"NumUnspecifiedStereocenters"	"MolLogP"	"MolLogP2"	"AWeightHeavyAtom"	"qed"	"BalabanJ"	"Ipc"	"Chi3c"	"Chi5ch"	"Chi6ch"	"Chiv4c"	"Chiv5ch"	"Chiv6ch"	"HallKierAlpha"	"bcutm1"	"bcutm2"	"CIC2"	"SIC0"	"SIC2"	"IC0"	"IC1"	"Cfrag16"	"Cfrag17"	"SEStatefrag16"	"SEStatefrag17"	"SEStatefrag32"	"MinEStateIndex"	"MinAbsEStateIndex"	"EStateVSA1"	"EStateVSA3"	"EStateVSA4"	"EStateVSA5"	"EStateVSA6"	"EStateVSA7"	"EStateVSA8"	"EStateVSA9"	"EStateVSA10"	"MATSm1"	"MATSm2"	"MATSm4"	"MATSe1"	"MATSe2"	"MATSe3"	"MATSe4"	"MATSe6"	"MATSe8"	"GATSm1"	"GATSm5"	"GATSm6"	"GATSe1"	"GATSe2"	"GATSe4"	"GATSe5"	"GATSe8"	"Rnc"	"Rpc"	"Mnc"	"Mpc"	"QOss"	"QNss"	"QCss"	"QOmin"	"QNmin"	"QHmin"	"QOmax"	"QNmax"	"QCmax"	"QHmax"	"SlogP_VSA1"	"SlogP_VSA2"	"SlogP_VSA3"	"SlogP_VSA7"	"SlogP_VSA8"	"SlogP_VSA10"	"SlogP_VSA11"	"SMR_VSA1"	"SMR_VSA3"	"SMR_VSA4"	"SMR_VSA6"	"SMR_VSA9"	"SMR_VSA10"	"PEOE_VSA1"	"PEOE_VSA3"	"PEOE_VSA4"	"PEOE_VSA5"	"PEOE_VSA6"	"PEOE_VSA7"	"PEOE_VSA9"	"PEOE_VSA10"	"PEOE_VSA12"	"PEOE_VSA13"	"PEOE_VSA14"	"VSA_EState1"	"VSA_EState2"	"VSA_EState3"	"VSA_EState4"	"VSA_EState7"	"VSA_EState8"	"BP_pred"	"LogVP_pred"	"LogWS_pred"	"LogHL_pred"	"RT_pred"	"LogKOA_pred"	"BioDeg_LogHalfLife_pred"	"ReadyBiodeg_pred"	"LogKM_pred"	"FUB_pred"	"ClCount"	"BrCount"	"PCount"	"SCount"	"NumRotatableBonds"	"TripleBoundCount"	"NumStereocenters"	"NumAmideBonds"	"Weiner"	"Tigdi"	"petitjean"	"Chi4pc"	"Chi3ch"	"dchi0"	"dchi1"	"skappa3"	"bcutm4"	"bcutm10"	"CIC3"	"Cfrag9"	"Cfrag10"	"Cfrag14"	"Cfrag19"	"Cfrag24"	"Cfrag25"	"Cfrag26"	"Cfrag28"	"Cfrag29"	"Cfrag30"	"Cfrag31"	"Cfrag32"	"Cfrag34"	"Cfrag35"	"Cfrag37"	"Cfrag41"	"Cfrag42"	"Cfrag45"	"Cfrag52"	"Cfrag53"	"MaxEStateIndex"	"MATSm6"	"MATSv1"	"MATSv4"	"MATSv7"	"MATSv8"	"MATSe7"	"GATSm4"	"GATSv1"	"GATSv5"	"GATSv6"	"GATSv7"	"SPP"	"LDI"	"Qmin"	"Qmax"	"SlogP_VSA5"	"ICount"	"NumHDonors"	"NumHAcceptors"	"ArBoundCount"	"NumAliphaticRings"	"NumAromaticCarbocycles"	"UI"	"Chi4c"	"Chi4ch"	"Chiv4pc"	"bcutm3"	"bcutm9"	"bcutv1"	"CIC4"	"CIC5"	"CIC6"	"IC2"	"Cfrag50"	"Cfrag51"	"MATSv3"	"MATSv5"	"FpDensityMorgan1"	"LogP_pred"	"NumHeteroatoms"	"Fcount"	"bcutm11"	"CIC1"	"Cfrag18"	"Cfrag48"	"Hato"	"NumAliphaticHeterocycles"	"HeavyAtomCount"	"Aff"
"104-40-5"	"104-40-5"	0	1	0	1	10	0	0	0.6	0	4.6853	21.952036	12.26025	0.630298	2.005637	4486.565	0.493	0	0.083	0	0	0.028	-0.98	3.820399	3.504736	2.543788	0.207794	0.522018	1.105867	1.92088	0	2	0	1.703402	0	0.3641811	0.3641811	0	5.749512	6.420822	50.509203	12.132734	12.132734	6.923737	5.106527	0	0	-0.051852	-0.022222	0	-0.051852	-0.066667	-0.022222	-0.04	-0.066667	0.5	0.727273	0.8	0.5	0.888889	0.666667	0.727273	1	0.433598	0.250182	-0.078101	0.046861	0.25803	0	0.047289	-0.507967	0	0.023035	-0.507967	0	0.115095	0.293092	0	5.106527	6.420822	0	0	0	5.749512	5.106527	0	0	0	5.749512	0	5.106527	0	0	0	57.581401	30.537829	0	5.749512	0	0	0	0	0	9.148736	1.339221	10.637133019	2.254781422	269	-3.09	-4.52	-4.98	23.9	9.36	0.57	0	-0.23	0.01	0	0	0	0	8	0	0	0	594	1452	0.461538	0.841	0	1.227	1.22	5.793091	3.031544	1.898236	2.059259	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9.148736	-0.04	0	-0.022222	-0.051852	-0.066667	-0.051852	0.666667	0.5	0.727273	0.8	0.888889	0.801059	0.093683	-0.507967	0.293092	57.43294	0	1	1	6	0	1	2.807355	0	0	0.305	3.293288	1.985586	3.824	1.672346	1.669272	1.703474	2.77814	0	0	-0.066667	-0.030303	0.8125	5.76	1	0	1.746852	3.401048	0	0	1.846154	0	16	0
"106-22-9"	"106-22-9"	0	1	0	0	9	1	0	0.8	1	2.7513	7.569652	12.37355	0.606746	3.306382	203.6951	0.697	0	0	0	0	0	-0.3	3.613611	3.404105	1.703032	0.220877	0.656245	1.094266	2.043861	1	0	1.389999	0	0	0.3293533	0.3293533	0	12.524788	12.841643	11.993926	0	0	26.847232	5.106527	0	-0.01	0	-0.175	-0.01	0	-0.022222	-0.175	-0.083333	-1	0.55	0.916667	0.916667	0.55	0.5	1.375	0.916667	5.5	0.458596	0.243013	-0.08643	0.041157	0.157106	0	0.029433	-0.396366	0	0.023319	-0.396366	0	0.043307	0.210037	0	11.713409	0	0	0	0	0	5.106527	0	5.917906	6.606882	0	0	5.106527	0	0	0	18.572862	39.027845	0	0	0	0	0	0	0	8.629773	1.389999	5.555273998	6.762361741	224	-1.35	-2.68	-5.3	11.14	7.38	0.55	1	-0.95	0.23	0	0	0	0	5	0	1	0	194	451	0.5	0.697	0	0.76	0.757	7.598269	2.673316	1.780315	1.452244	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8.629773	-0.083333	-0.01	-0.175	-0.266667	-1	-0.266667	1.375	0.55	0.916667	0.916667	1.833333	0.606403	0.08738	-0.396366	0.210037	40.033676	0	1	1	0	0	0	1	0	0	0.612	2.976334	1.932582	3.643	1.452244	1.548387	1.600311	3.251164	0	0	-0.022222	-0.083333	1.3636364	3.91	1	0	1.480536	2.910335	0	0	1.534884	0	11	0
"7492-66-2"	"7492-66-2"	0	2	0	0	13	2	0	0.714286	0	4.0782	16.631715	12.5095	0.458453	4.082675	2392.433	0.901	0	0	0	0	0	-0.6	3.675501	3.48858	2.258762	0.216194	0.581115	1.165784	1.968006	2	0	2.697561	0	0	-0.1789786	0.1789786	0	13.213764	12.841643	11.146209	0	13.847474	32.923252	9.473726	0	-0.161905	0.277311	-0.260504	-0.161905	0.277311	-0.142857	-0.260504	-0.020408	-0.428571	1.142857	0.571429	0.612245	1.142857	1.008403	1.512605	0.571429	2.142857	0.281376	0.142209	-0.095478	0.0428	0.243947	0	0.066536	-0.349247	0	0.025385	-0.349247	0	0.176511	0.097271	0	19.503791	9.473726	0	0	0	0	9.473726	0	0	13.213764	0	0	9.473726	0	0	0	17.222229	53.536349	0	0	0	0	0	10.93286801	0	0	2.697561	6.318046107	11.718191085	255	-1.83	-4.42	-4.09	16.26	6.77	0.63	0	1.13	0.06	0	0	0	0	8	0	0	0	538	1660	0.5	1.066	0	1.012	1.46	8.687738	3.109594	1.767712	1.762836	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.466434	-0.020408	-0.161905	-0.260504	-0.142857	-0.428571	-0.142857	1.512605	1.142857	0.571429	0.612245	1.071429	0.525758	0.100482	-0.349247	0.176511	47.460329	0	0	2	0	0	0	1.584963	0	0	0.573	3.242205	1.914669	3.675	1.488793	1.624734	1.492167	3.133555	0	0	-0.142857	-0.009524	1.0625	4.9	2	0	1.655118	3.424311	0	0	1.6	0	16	0
"108-03-2"	"108-03-2"	0	2	1	0	4	1	0	1	0	0.6731	0.453064	13.673	0.368378	2.831257	14.83447	0.408	0	0	0	0	0	-0.6	3.483085	2.930849	1.251128	0.451076	0.661898	1.66918	2.034941	0	0	0	0	0	-0.3194444	0.09722222	0	6.420822	0	0	6.923737	0	0	0	10.114318	0.407297	-0.007131	-1.206882	0.397926	-0.001692	-0.855662	-1.207094	0	0	0.310116	0	0	0.315553	0.927831	2.071965	0	0	0.44974	0.345367	-0.196076	0.058823	0.139972	0.000377	0.044854	-0.264549	0.019428	0.023278	-0.264549	0.019428	0.203154	0.110185	0	11.468067	0	0	0	0	0	4.923311	0	0	6.544756	0	0	0	0	0	0	6.923737	0	0	0	6.544756	0	0	0	9.08541667	9.404861	0	0.631944444	1.877777778	131	1.01	-0.76	-4.06	0	3.05	0.65	1	-0.8	0.72	0	0	0	0	2	0	0	0	32	63	0.5	0.289	0	1.314	0.882	3.4	1.331061	1.257004	1.230769	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	9.404861	0	0.527954	-1.169476	0	0	0	2.068822	0.263234	0	0	0	0.467703	0.124562	-0.264549	0.203154	13.344559	0	0	2	0	0	0	1	0	0	0.037	2.080044	1.773544	3.385	1.230769	1.500752	3.70044	2.449312	0	0	-0.948538	0	1.8333333	0.83	3	0	0.711218	1.665499	0	0	1.384615	0	6	0
"7378-99-6"	"7378-99-6"	0	0	1	0	10	0	0	1	0	2.9085	8.459372	12.19246	0.513576	2.796422	240.8959	0.408	0	0	0	0	0	-0.04	3.543416	3.368414	2.363835	0.206462	0.535361	1.050369	1.512413	0	0	0	0	0	1.256076	1.256076	0	0	0	45.069686	0	0	25.918991	0	0	-0.23	-0.01	-0.057143	-0.23	-0.01	-0.0375	-0.057143	-0.12	-0.266667	1.65	0.916667	1.1	1.65	0.55	0.785714	0.916667	1.833333	0.433636	0.060312	-0.064864	0.031022	0	0.095728	0.020709	0	-0.3094	0.023035	0	-0.3094	-0.002484	0.043033	0	25.54001	0	0	0	0	0	0	4.89991	0	20.6401	0	0	4.89991	0	0	0	39.027845	27.060922	0	0	0	0	0	0	2.26371103	0	0	8.426733828	3.519787415	191	-0.6	-2.49	-2.88	12.85	4.82	0.59	1	0.27	0.56	0	0	0	0	7	0	0	0	212	403	0.444444	0.289	0	0.13	0.352	9.96	2.74617	1.781253	1.788058	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2.263711	-0.12	-0.23	-0.057143	-0.175	-0.266667	-0.175	0.785714	1.65	0.916667	1.1	1.375	0.352433	0.078052	-0.3094	0.043033	45.448667	0	0	1	0	0	0	0	0	0	0.224	3.105573	1.918578	3.566	1.668502	2.070695	2.250863	2.723628	0	0	-0.0375	-0.083333	0.8181818	2.67	1	0	1.617748	3.57505	0	0	1.609756	0	11	0
"56375-79-2"	"56375-79-2"	0	0	1	0	13	0	0	1	0	3.8333	14.694189	12.15357	0.496188	3.889783	1049.444	0.927	0	0	0.158	0	0	-0.04	3.721225	3.289661	2.765046	0.186927	0.493529	1.020513	1.545198	0	0	0	0	0	1.315	1.315	0	0	0	62.64223	0	0	27.818884	0	0	-0.254438	-0.138462	-0.138462	-0.254438	-0.138462	-0.138462	-0.138462	0.076923	0.076923	2.153846	0	0	2.153846	1.4	1.4	0	0	0.47587	0.054836	-0.068515	0.049563	0	0.106305	0.043602	0	-0.326044	0.023039	0	-0.326044	0.078396	0.092408	0	31.164972	0	0	0	0	0	4.483031	0	0	26.681941	0	0	4.483031	0	0	0	40.033676	19.262465	26.681941	0	0	0	0	1.315	0	0	0	8.196483844	11.04309949	226	-0.78	-5.16	-1.18	17.52	5.78	0.67	0	1.24	0.28	0	0	0	0	9	0	0	0	343	1195	0.5	1.436	0	0.053	0.165	6.419321	3.08662	1.787148	2.43404	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.445417	0.076923	-0.254438	-0.138462	0.076923	0.076923	0.076923	1.4	2.153846	0	0	0	0.418452	0.085096	-0.326044	0.092408	59.296141	0	0	0	0	0	0	0	0.177	0	1.284	3.289661	1.972833	3.681	2.38257	2.518934	2.791661	2.694386	0	0	-0.138462	0.076923	0.6428571	-2.07	1	0	1.787148	3.914233	0	0	1.6	0	14	0
"402910-27-4"	"402910-27-4"	0	3	2	2	11	2	0	0.294118	0	3.21822	10.35694	14.34717	0.794869	2.396256	145489.7	2.858	0	0.136	0.059	0	0.048	-1.54	4.619677	3.997785	1.245309	0.305941	0.774546	1.689883	3.046424	0	6	0	4.509768	0	-3.743287	0.08389951	10.023291	18.04378	11.126903	10.961851	23.894619	50.373861	0	9.875837	8.417797	-0.000794	-0.064853	-0.050215	0.026377	0.199121	-0.243689	-0.116624	0.722264	-0.247589	1.320364	0.485284	0.894465	0.685911	0.834279	1.056678	1.100194	1.035904	0.252324	0.131157	-0.106546	0.062458	0.294846	0.143485	0.049843	-0.457028	-0.305003	0.028007	-0.20733	-0.224628	0.131509	0.137005	9.875837	33.66882	16.568048	0	0	0	11.499024	13.15466	4.89991	5.138974	20.351113	11.499024	21.785176	9.636773	13.556771	0	11.761885	0	69.236504	4.895483	11.499024	10.023291	0	0	29.14026276	3.22039739	5.226407	1.896701	2.031779663	2.573502892	298	-8.69	-4.62	-8.7	12	10.57	0.6	0	-0.31	0.14	0	0	0	2	6	0	0	0	1395	7788	0.5	4.375	0	2.035	1.097	4.733033	3.433776	1.893764	1.054985	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	11.576726	-0.086989	-0.395211	0.010741	-0.063992	-0.011468	-0.240782	0.639428	1.304302	1.258768	0.381837	0.918756	0.694589	0.145993	-0.457028	0.237561	11.126903	0	1	5	12	0	2	3.906891	0.289	0	2.447	3.744044	1.964606	3.948	0.891729	0.823354	0.804773	4.278253	1	0	-0.059537	-0.438309	1.1666667	3.46	7	0	1.650516	2.477138	0	0	1.704142	0	24	0
"97-89-2"	"97-89-2"	0	2	0	0	13	2	0	0.785714	1	3.9582	15.667347	12.5095	0.484968	3.544961	2097.54	1.266	0	0	0	0	0	-0.79	3.636163	3.526446	2.136257	0.216194	0.603833	1.165784	2.045271	2	0	1.286976	0	0	-0.08657549	0.01298108	0	12.524788	12.841643	11.993926	0	13.847474	26.847232	4.736863	4.794537	-0.085714	0.333333	-0.120879	-0.085714	0.333333	-0.285714	-0.120879	-0.120879	-0.346939	0.857143	0.714286	0.989011	0.857143	0.714286	0.989011	0.714286	1.836735	0.364383	0.240999	-0.098264	0.04405	0.280166	0	0.138207	-0.465476	0	0.02332	-0.251989	0	0.307861	0.070686	0	12.576187	9.5314	0	0	0	0	9.5314	0	11.835812	6.606882	0	5.969305	4.736863	0	0	0	32.420336	39.027845	12.524788	0	0	0	5.969305	5.14717474	11.19593883	0	1.373551	5.525520702	10.736479882	260	-1.42	-4.88	-4.21	17.07	6.75	0.71	1	-0.54	0.07	0	0	0	0	7	0	1	0	573	1524	0.454545	1.904	0	1.175	1.199	8.512864	2.976585	1.80043	1.719972	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11.195939	-0.120879	-0.085714	-0.120879	-0.085714	-0.346939	-0.085714	0.989011	0.857143	0.714286	0.989011	0.857143	0.773337	0.108258	-0.465476	0.307861	53.881151	0	0	2	0	0	0	1.584963	0	0	0.978	3.369532	1.933598	3.65	1.316291	1.393555	1.399307	3.256061	0	0	-0.285714	-0.047619	1.1875	5.32	2	0	1.765717	3.347047	0	0	1.548387	0	16	0
"2694-54-4"	"2694-54-4"	0	6	0	1	12	6	0	0.166667	0	2.715	7.371225	13.008	0.393419	3.172997	178406.1	1.146	0	0.068	0	0	0.024	-3.15	3.915231	3.47512	2.079126	0.268681	0.614428	1.448816	2.556657	3	3	-2.162995	-0.02053519	0	-0.7788669	0.01080701	17.907916	0	0	36.427162	0	0	19.736807	14.210589	14.383612	-0.166667	0.2	-0.390476	-0.166667	0.2	-0.372549	-0.390476	0.333333	-0.393939	0.958333	0.949206	0.659498	0.958333	0.766667	1.387302	0.949206	1.393939	0.169611	0.12552	-0.179971	0.099984	0.810726	0	0.438716	-0.457875	0	0.053567	-0.246167	0	0.338849	0.075324	0	37.728562	14.210589	0	0	0	0	28.5942	0	0	19.820646	0	17.907916	14.210589	14.383612	0	0	37.964867	18.199101	16.690354	19.820646	0	0	17.907916	14.76225571	36.03162811	0	-0.02053519	4.19703237	10.301758762	355	-6.46	-3.64	-8.59	13.86	9.17	0.63	0	-0.28	0.35	0	0	0	0	9	0	0	0	1428	7734	0.461538	2.926	0	4.793	4.516	5.241679	3.357424	1.697333	1.709846	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	12.125282	0.333333	-0.166667	-0.390476	0.333333	-0.393939	0.333333	1.387302	0.958333	0.949206	0.659498	0.730159	0.796724	0.226055	-0.457875	0.338849	31.073966	0	0	6	6	0	1	3.70044	0	0	0.735	3.417766	1.95116	3.884	1.57236	1.173434	1.128192	3.313191	0	0	-0.372549	0.142857	0.75	3.1	6	0	1.693652	2.835661	0	0	1.714286	0	24	0
"121552-61-2"	"121552-61-2"	0	0	3	3	7	0	1	0.285714	0	3.40602	11.600972	12.36323	0.869464	1.870036	21283.48	1.03	0	0.17	0	0	0.047	-1.9	3.914902	3.749228	1.305451	0.270867	0.73891	1.354337	2.576012	0	4	0	3.939083	0	0.6602068	0.6602068	0	11.866245	11.381314	18.535571	0	37.255573	21.351113	0	0	-0.169173	0.478261	-0.424812	-0.169173	0.478261	-0.337662	-0.424812	0.040816	0.214286	1.022556	1.439153	0.462585	1.022556	0.84472	1.704261	1.439153	0	0.282222	0.197753	-0.09572	0.057432	0	0.200017	0.076382	0	-0.324171	0.027355	0	-0.217565	0.227148	0.169679	5.316789	9.967957	0	0	0	11.635726	0	0	9.967957	0	5.316789	0	11.635726	5.316789	9.967957	0	0	18.199101	37.964482	0	0	5.948339	0	0	0	8.98572373	3.245556	3.232509	2.530218884	2.017592593	348	-5.44	-4.24	-7.6	16.31	11.32	0.61	0	-0.15	0	0	0	0	0	3	0	0	0	539	2452	0.444444	1.757	0.289	1.815	2.322	2.437833	2.979074	1.830865	0.79718	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4.568649	0.040816	-0.169173	-0.424812	0.214286	0.214286	0.214286	1.704261	1.022556	1.439153	0.462585	0	0.551319	0.132512	-0.324171	0.227148	30.147405	0	1	3	12	1	1	3.70044	0	0	0.67	3.49151	1.949481	3.872	0.79718	0.8125	0.77359	3.694549	0	0	-0.337662	-0.325397	1.1176471	4	3	0	1.402125	2.423988	0	0	2.081633	0	17	0
"193-39-5"	"193-39-5"	0	0	0	6	2	0	0	0	0	6.2314	38.830346	12.011	0.288335	2.028202	418029.9	1.378	0.064	0.308	0	0.031	0.112	-2.86	4.26018	3.84131	2.626006	0.184113	0.483828	0.936667	1.579863	0	4	0	5.519184	0	1.337645	1.337645	0	0	0	54.571151	0	0	72.796405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081701	0.08435	-0.034275	0.062838	0	0	0.037782	0	0	0.062291	0	0	-0.001367	0.063604	0	0	0	0	54.571151	0	0	0	0	0	0	22.253806	32.317345	0	0	0	0	66.730038	60.637518	0	0	0	0	0	0	0	8.302705	5.519184	0	0	536	-9.64	-9.11	-6.46	28.85	11.72	2.52	0	0.19	0.01	0	0	0	0	0	0	0	0	845	8293	0.375	4.263	0	2.331	3.196	1.085325	3.345746	1.948039	1.621159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.374444	0	0	0	0	0	0	0	0	0	0	0	0.125211	0.048446	-0.061607	0.063604	0	0	0	0	25	1	5	4.70044	0	0	1.905	3.566257	2.243637	4.265	0.753225	0.551614	0.294118	2.461457	0	0	0	0	0.3636364	6.76	0	0	1.753068	3.507599	6	0	2.357143	0	22	0
"120-65-0"	"120-65-0"	0	1	1	1	5	0	0	0.333333	0	1.4538	2.113534	12.555	0.69123	2.775501	291.1518	0.811	0	0.083	0	0	0.028	-1.02	3.824465	3.303219	1.229574	0.303565	0.731825	1.391836	2.375815	0	2	0	1.346019	0	0.3761111	0.3761111	0	5.749512	12.108208	0	6.066367	37.194355	0	0	5.106527	-0.130564	-0.060544	0.222435	-0.127564	-0.060883	-0.281462	0.217409	0.194245	0	0.761258	1.537073	0	0.752272	0.770755	0.931343	1.54151	0	0.491179	0.283614	-0.129185	0.064592	0.257682	0.093027	0.025961	-0.507624	-0.305004	0.039406	-0.507624	-0.305004	0.11957	0.293109	0	24.101781	6.544756	0	0	0	5.749512	5.106527	4.89991	0	14.095344	5.749512	0	10.006437	0	0	0	18.199101	20.161711	0	5.749512	0	0	0	0	2.02287037	9.332731	0.9699074	0	0.784398148	273	-1.79	-1.68	-6.65	6.69	7.62	0.55	0	-1.03	0.66	0	0	0	0	2	0	0	0	158	595	0.5	1.234	0	1.357	1.583	2.238581	2.687423	1.655368	0.979574	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	9.332731	0.195715	-0.173697	0.277926	0	0	0	0.929894	0.905171	1.455319	0	0	0.800733	0.147152	-0.507624	0.293109	5.563451	0	1	2	6	0	1	2.807355	0	0	0.487	2.78646	1.956035	3.817	0.979574	0.896241	0.896241	3.355389	0	0	-0.293583	-0.320497	1.2727273	1.7	2	0	1.248907	2.209148	0	0	1.692308	0	11	0
"19721-22-3"	"19721-22-3"	0	1	0	0	4	0	0	1	0	0.2986	0.089162	16.8198	0.469276	2.19061	11.24511	0	0	0	0	0	0	0.31	3.659788	3.066856	0.885367	0.402256	0.76074	1.488525	2.50738	0	0	0	0	0	0.2673611	0.2673611	0	0	12.173675	0	0	0	12.628789	5.106527	0	-0.095548	-0.254795	-0.206841	-0.101377	-0.27034	-0.608264	-0.066943	0	0	0.691097	0	0	0.702755	0.937006	1.566943	0	0	0.655954	0.347613	-0.151057	0.067136	0.15709	0	0.00242	-0.396345	0	0.029838	-0.396345	0	0.04383	0.210037	0	17.466263	0	0	0	0	0	5.106527	0	0	12.359736	0	12.628789	5.106527	0	12.628789	0	0	12.173675	0	0	0	0	0	0	0	8.017361	0	0.808641975	0.267361111	132	-0.44	0.49	-6.2	0	4.21	0.65	1	-1.03	0.81	0	0	0	1	2	0	0	0	20	30	0.5	0	0	0.211	0.149	4.31	1.472789	1.124326	0.769231	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8.017361	0	-0.001626	-2.46098	0	0	0	1.706841	0.503252	0	0	0	0.606382	0.149636	-0.396345	0.210037	6.420822	0	2	2	0	0	0	0	0	0	0	2.211351	1.706817	3.357	0.615385	0.981145	1.712666	2.815072	0	0	-0.009755	0	1.6	0.34	2	0	0.657299	1.19306	0	1	1.428571	0	5	0
"2648-61-5"	"2648-61-5"	2	1	0	1	4	1	0	0.125	0	2.673	7.144929	16.63573	0.515825	2.859531	335.4794	0.692	0	0.102	0	0	0.032	-0.53	3.966826	3.706577	1.477613	0.402624	0.638501	1.645711	2.374556	1	1	-0.2556173	0.5439815	0	-0.9607407	0.2556173	4.83627	5.563451	0	0	24.265468	6.066367	0	23.20188	4.794537	0	0.337996	-0.38631	0	0.094472	0.317307	-0.534046	-0.888278	0	0.576112	2.097343	3.123416	0.622602	0.700426	1.521916	1.789983	0	0.377221	0.252909	-0.096462	0.085744	0.084739	0	0.084087	-0.2911	0	0.062269	-0.2911	0	0.195169	0.073289	0	10.619515	0	0	0	0	0	4.794537	0	0	0	0	28.985125	0	0	0	0	53.533715	0	0	0	0	0	0	0	10.11981481	0	0.5439815	0	0	249	-1.66	-2.71	-5.72	11.86	5.79	0.76	0	0.63	0.07	2	0	0	0	2	0	0	0	156	607	0.5	1.681	0	1.127	1.252	2.208058	2.933168	1.278455	1.103229	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11.080556	-1.088193	0	-0.018039	0	0	0	1.408273	0.460222	1.303011	1.377812	0	0.486269	0.122441	-0.2911	0.195169	10.357989	0	0	1	6	0	1	3	0	0	0.717	2.951	1.948393	3.814	1.153508	1.153508	1.192039	2.60985	0	0	-0.573323	-0.075262	1.1818182	2.49	3	0	1.0818	1.712907	0	0	1.692308	0	11	0
"2176-62-7"	"2176-62-7"	5	0	1	1	5	0	1	0	0	4.3486	18.910322	22.84791	0.62464	3.455546	256.3468	1.049	0	0.045	0	0	0.014	0.6	4.187293	3.650248	1.228161	0.389829	0.644982	1.348588	1.789929	0	5	0	0.4453086	0	0.04728395	0.04728395	0	0	0	0	0	0	4.983979	58.004699	0	-0.014817	-0.308152	-0.018661	-0.12233	-0.264383	-0.122052	0.004464	0	0	0.858029	0	0	1.037217	1.125956	0.920426	0	0	0.380234	0.258856	-0.09692	0.116304	0	0.048892	0.071671	0	-0.221114	0	0	-0.221114	0.150531	0	0	4.983979	0	25.37412	0	0	0	0	4.983979	0	0	0	58.004699	0	4.983979	0	0	58.004699	0	15.0679	0	0	0	0	0	3.61604938	0.4453086	0	0	0	271	-1.86	-5.16	-3.13	14.75	6.71	0.75	0	1.8	0.01	5	0	0	0	0	0	0	0	140	751	0.4	2.887	0	0.023	0.755	1.847431	3.239098	0.513098	0.977717	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5.615432	0	0.078103	-0.045443	0	0	0	1.011572	0.703162	0	0	0	0.371645	0.165281	-0.221114	0.150531	0	0	0	1	6	0	0	2.807355	0	0	1.916	3.523381	1.612348	3.769	0.977717	0.727273	0.795899	2.23127	0	0	-0.172481	1.014211	0.6363636	3.53	6	0	0.374698	1.669503	0	0	1.534884	0	11	0
"111-62-6"	"111-62-6"	0	2	0	0	19	2	0	0.85	0	6.587	43.388569	12.37355	0.182565	3.124607	63950.89	0.289	0	0	0	0	0	-0.79	3.61677	3.526512	3.439423	0.187785	0.417727	1.109227	1.628154	1	0	-0.04154867	0	0	-0.04154867	0.04154867	0	13.027704	12.841643	70.629038	0	6.923737	19.075777	4.736863	4.794537	-0.057143	0.414286	-0.073684	-0.057143	0.414286	-0.065	-0.073684	-0.0375	-0.057143	0.825	0.679412	0.721875	0.825	0.825	0.911842	0.679412	0.825	0.285477	0.187023	-0.085908	0.039811	0.280783	0	0.156173	-0.465969	0	0.023035	-0.2523	0	0.305267	0.070377	0	12.576187	9.5314	0	0	0	0	9.5314	0	0	6.606882	0	5.969305	4.736863	0	0	0	70.44235	39.027845	6.606882	0	0	0	5.969305	4.91292033	11.14560279	0	0	22.019799464	4.629892756	363	-5.15	-5.4	-6.58	35.01	9.32	0.76	1	-0.05	0.04	0	0	0	0	16	0	0	0	1720	3419	0.5	0.408	0	1.227	1.194	17.262056	3.321672	1.902524	2.62097	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11.145603	-0.0375	-0.057143	-0.073684	-0.046667	-0.057143	-0.046667	0.911842	0.825	0.679412	0.721875	0.77	0.771236	0.089634	-0.465969	0.305267	103.738977	0	0	2	0	0	0	1.584963	0	0	0.083	3.447265	1.944886	3.645	2.253876	2.167155	2.201117	2.467467	0	0	-0.065	-0.029412	0.7272727	7.96	2	0	1.81214	4.278737	0	0	1.783784	0	22	0
